# Tam_Msg_Bytes Vazao_bps
1024 335836718.099316
2048 644853118.182164
3072 973380794.747876
4096 1246995721.336289
5120 1562582293.943375
6144 1869781347.826418
7168 2171412206.012889
8192 2441781310.950644
9216 2711098718.662992
10240 3020841200.890387
11264 3317980748.194138
12288 3619946317.567091
13312 3890412889.412270
14336 4144054931.975753
15360 4402151013.837180
16384 4794413212.799820
17408 5026329613.007487
18432 5344144224.076642
19456 5636340716.505486
20480 5861901953.674415
21504 6029092720.257377
22528 6352765568.345057
23552 6582695409.077006
24576 6852730576.781746
25600 7123756369.397799
26624 7364663391.313306
27648 7584324536.631269
28672 7765687030.941241
29696 8032786262.200917
30720 8289850613.155011
31744 8529462828.799385
32768 8715015758.563383
